raw_feature,importance
src_port,16501
duration,11930
src_ip_bytes,6019
conn_state,4974
dst_port,4728
dst_ip_bytes,3860
src_bytes,3663
dst_bytes,3481
dns_query,3063
src_pkts,2511
dst_pkts,1788
service,1082
proto,691
dns_RA,544
dns_qtype,475
missed_bytes,400
dns_rcode,386
dns_rejected,372
dns_RD,309
dns_AA,126
ssl_cipher,115
http_status_code,77
weird_name,74
dns_qclass,70
http_resp_mime_types,47
ssl_version,42
http_response_body_len,39
http_trans_depth,32
http_version,30
http_user_agent,16
ssl_resumed,11
weird_notice,10
http_method,9
http_uri,7
ssl_established,2
http_orig_mime_types,0
http_request_body_len,0
ssl_issuer,0
ssl_subject,0
weird_addl,0
