raw_feature,importance,perm_importance_mean,perm_importance_std,builtin_rank,perm_rank,rank_sum
src_ip_bytes,6019,0.15924637723759602,0.0013235196128792393,3.0,1.0,4.0
src_port,16501,0.10735399673391843,0.0025284120344031776,1.0,4.0,5.0
duration,11930,0.09869587422037245,0.0024749836571854892,2.0,5.0,7.0
conn_state,4974,0.12023560179812151,0.0020514441011912675,4.0,3.0,7.0
dst_port,4728,0.1455944431033933,0.0015847909978385106,5.0,2.0,7.0
src_bytes,3663,0.02901030990964095,0.0010791305093015083,7.0,6.0,13.0
dst_ip_bytes,3860,0.0150588538446349,0.0008246317763691057,6.0,8.0,14.0
dst_bytes,3481,0.003921954285072382,0.0005910821629947499,8.0,10.0,18.0
dns_query,3063,0.006353544449370174,0.0003558514718103381,9.0,9.0,18.0
proto,691,0.015209650094589012,0.0009578742455795601,13.0,7.0,20.0
src_pkts,2511,0.001747068211111835,0.00021537312552213404,10.0,11.0,21.0
dst_pkts,1788,0.0010372830302169955,0.00016558784516065115,11.0,12.0,23.0
service,1082,0.00047375147933357285,0.0002351866462501758,12.0,14.0,26.0
dns_RA,544,0.0008049189770322318,0.00020967107564310656,14.0,13.0,27.0
dns_rcode,386,0.0001477765764419825,6.996925336296182e-05,17.0,15.0,32.0
dns_rejected,372,4.14587968922131e-06,4.464474331880555e-05,18.0,18.0,36.0
http_status_code,77,0.00012992138644951634,0.0,22.0,16.0,38.0
ssl_cipher,115,0.0,0.0,21.0,19.0,40.0
weird_name,74,2.0185962281371594e-05,4.037192456274319e-05,23.0,17.0,40.0
dns_qclass,70,0.0,0.0,24.0,19.0,43.0
http_resp_mime_types,47,0.0,0.0,25.0,19.0,44.0
ssl_version,42,0.0,0.0,26.0,19.0,45.0
http_response_body_len,39,0.0,0.0,27.0,19.0,46.0
http_trans_depth,32,0.0,0.0,28.0,19.0,47.0
http_version,30,0.0,0.0,29.0,19.0,48.0
http_user_agent,16,0.0,0.0,30.0,19.0,49.0
ssl_resumed,11,0.0,0.0,31.0,19.0,50.0
weird_notice,10,0.0,0.0,32.0,19.0,51.0
http_method,9,0.0,0.0,33.0,19.0,52.0
http_uri,7,0.0,0.0,34.0,19.0,53.0
dns_qtype,475,-4.498392397096484e-05,9.550363089264751e-05,15.0,39.0,54.0
missed_bytes,400,-2.032185735614256e-05,4.064371471228512e-05,16.0,38.0,54.0
ssl_established,2,0.0,0.0,35.0,19.0,54.0
http_orig_mime_types,0,0.0,0.0,36.0,19.0,55.0
http_request_body_len,0,0.0,0.0,36.0,19.0,55.0
ssl_issuer,0,0.0,0.0,36.0,19.0,55.0
ssl_subject,0,0.0,0.0,36.0,19.0,55.0
weird_addl,0,0.0,0.0,36.0,19.0,55.0
dns_RD,309,-1.3650041882273811e-05,0.0001082265947065321,19.0,37.0,56.0
dns_AA,126,-7.12288690286389e-05,0.00010964786544296542,20.0,40.0,60.0
