raw_feature,mean_abs_shap
conn_state,0.053967284170422514
src_bytes,0.04410227539877812
dst_bytes,0.02381954967937472
dst_port,0.020507659323170526
duration,0.018424593998338824
service,0.01841587975601605
dst_ip_bytes,0.01713575918130878
src_ip_bytes,0.015753933574947854
src_pkts,0.012166001264807425
dst_pkts,0.0114214371297018
src_port,0.011296090592187467
proto,0.005782890741415388
dns_RA,0.003510835350116939
dns_rejected,0.0031868388463226526
dns_AA,0.0023269092840290592
dns_query,0.0019580931153187022
dns_RD,0.001821819511997407
dns_rcode,0.0012937013953774846
dns_qclass,0.0009849526895115142
missed_bytes,0.0008795786133432398
dns_qtype,0.0008176629197457176
ssl_established,0.0001280274115756877
http_trans_depth,0.00012763589336853355
ssl_resumed,0.00012378403144433178
ssl_cipher,0.00011903044833077721
ssl_version,9.325938876326393e-05
http_method,8.763061920476324e-05
http_user_agent,7.99440876043146e-05
http_version,5.1536443807232015e-05
http_uri,3.784949217813585e-05
weird_name,3.5672572237785606e-05
weird_notice,3.562046996290754e-05
http_status_code,2.3282028749188365e-05
http_resp_mime_types,2.1346284745089227e-05
http_response_body_len,1.5042451496978919e-05
weird_addl,2.4639418925389715e-06
http_orig_mime_types,9.654246551186997e-07
ssl_subject,2.4790622856633044e-07
ssl_issuer,2.3746409419421617e-07
http_request_body_len,1.73423307356881e-07
