record_id,created_utc,case_id,event_time,context,model_name,model_digest,feature_schema_digest,hash_algorithm,true_label_id,true_label_name,prediction_id,prediction_name,confidence,score_type,topk_predictions,features_digest,top_features,prev_hash,record_hash,sequence_id,window_id
CASE-20260330-153425-DIVERSIFIED-0,2026-03-30 16:15:18.657398+00:00,CASE-20260330-153425-DIVERSIFIED,2026-03-30 16:15:18.657398+00:00,"{'src_ip': '192.168.1.37', 'dst_ip': '192.168.1.193', 'src_port': 35921, 'dst_port': 445, 'proto': 'tcp', 'service': '-', 'conn_state': 'OTH'}",lightgbm,29877fa54c191755b4eb84f1c6fadc3a163fd4dc8913569676752d6a9e3509d8,ea7826d3bc380cdecb84fe98e1857d9ad0ecbf653749c1bece711ab78df1b31c,SHA-256,6,ransomware,6,ransomware,0.9999999017702365,max_class_probability,"[{'class_id': 6, 'class_name': 'ransomware', 'probability': 0.9999999017702365}, {'class_id': 1, 'class_name': 'ddos', 'probability': 3.5360505855812225e-08}, {'class_id': 3, 'class_name': 'injection', 'probability': 3.048485115374176e-08}]",ce96489b7996480c9e535046fc4461ac8bf147c8e40bb646f9f9704ac7e35d1b,"[{'feature': 'duration', 'value': 0.0, 'shap_value': 8.540518070135636, 'abs_shap_value': 8.540518070135636, 'sign': '+'}, {'feature': 'dst_port', 'value': 445.0, 'shap_value': 6.722357378168579, 'abs_shap_value': 6.722357378168579, 'sign': '+'}, {'feature': 'src_port', 'value': 35921.0, 'shap_value': 1.9336841815643468, 'abs_shap_value': 1.9336841815643468, 'sign': '+'}, {'feature': 'src_ip_bytes', 'value': 105.0, 'shap_value': 1.800469547326971, 'abs_shap_value': 1.800469547326971, 'sign': '+'}, {'feature': 'conn_state', 'value': 'OTH', 'shap_value': 1.6383368933152858, 'abs_shap_value': 1.6531216508276938, 'sign': '+'}]",GENESIS,9109018ddc0095411c1385c1bbf0a43b97e21bf6e9f0643b8a1271796c364af8,1,0
CASE-20260330-153425-DIVERSIFIED-1,2026-03-30 16:15:18.663400+00:00,CASE-20260330-153425-DIVERSIFIED,2026-03-30 16:15:18.663400+00:00,"{'src_ip': '192.168.1.193', 'dst_ip': '192.168.1.37', 'src_port': 49694, 'dst_port': 8080, 'proto': 'tcp', 'service': '-', 'conn_state': 'REJ'}",lightgbm,29877fa54c191755b4eb84f1c6fadc3a163fd4dc8913569676752d6a9e3509d8,ea7826d3bc380cdecb84fe98e1857d9ad0ecbf653749c1bece711ab78df1b31c,SHA-256,0,backdoor,0,backdoor,0.9999999013897471,max_class_probability,"[{'class_id': 0, 'class_name': 'backdoor', 'probability': 0.9999999013897471}, {'class_id': 3, 'class_name': 'injection', 'probability': 2.260398520883126e-08}, {'class_id': 4, 'class_name': 'normal', 'probability': 2.0771588830695713e-08}]",9046ce47d47a656de29829e67763673979be4bf183339e29172ac5974502ec0b,"[{'feature': 'conn_state', 'value': 'REJ', 'shap_value': 9.09323983761653, 'abs_shap_value': 9.120954569233945, 'sign': '+'}, {'feature': 'src_ip_bytes', 'value': 48.0, 'shap_value': 5.861346068903465, 'abs_shap_value': 5.861346068903465, 'sign': '+'}, {'feature': 'src_port', 'value': 49694.0, 'shap_value': 3.774115981498756, 'abs_shap_value': 3.774115981498756, 'sign': '+'}, {'feature': 'dst_port', 'value': 8080.0, 'shap_value': 1.2780439553964569, 'abs_shap_value': 1.2780439553964569, 'sign': '+'}, {'feature': 'duration', 'value': 0.000125, 'shap_value': 0.6309022235479246, 'abs_shap_value': 0.6309022235479246, 'sign': '+'}]",9109018ddc0095411c1385c1bbf0a43b97e21bf6e9f0643b8a1271796c364af8,68126d9cfd34fc3680f77e1c5e50955ae62f1436678a07f8d09932845d541200,2,0
CASE-20260330-153425-DIVERSIFIED-2,2026-03-30 16:15:18.669011+00:00,CASE-20260330-153425-DIVERSIFIED,2026-03-30 16:15:18.669011+00:00,"{'src_ip': '192.168.1.193', 'dst_ip': '192.168.1.37', 'src_port': 49690, 'dst_port': 8080, 'proto': 'tcp', 'service': '-', 'conn_state': 'REJ'}",lightgbm,29877fa54c191755b4eb84f1c6fadc3a163fd4dc8913569676752d6a9e3509d8,ea7826d3bc380cdecb84fe98e1857d9ad0ecbf653749c1bece711ab78df1b31c,SHA-256,0,backdoor,0,backdoor,0.9999999013897471,max_class_probability,"[{'class_id': 0, 'class_name': 'backdoor', 'probability': 0.9999999013897471}, {'class_id': 3, 'class_name': 'injection', 'probability': 2.260398520883126e-08}, {'class_id': 4, 'class_name': 'normal', 'probability': 2.0771588830695713e-08}]",abe1c5e7b8f143874b058f0bd832cfacca52ea57a3571b2bedda1f9f96830a12,"[{'feature': 'conn_state', 'value': 'REJ', 'shap_value': 9.09323983761653, 'abs_shap_value': 9.120954569233945, 'sign': '+'}, {'feature': 'src_ip_bytes', 'value': 48.0, 'shap_value': 5.861346068903465, 'abs_shap_value': 5.861346068903465, 'sign': '+'}, {'feature': 'src_port', 'value': 49690.0, 'shap_value': 3.774115981498756, 'abs_shap_value': 3.774115981498756, 'sign': '+'}, {'feature': 'dst_port', 'value': 8080.0, 'shap_value': 1.2780439553964569, 'abs_shap_value': 1.2780439553964569, 'sign': '+'}, {'feature': 'duration', 'value': 0.000124, 'shap_value': 0.6309022235479246, 'abs_shap_value': 0.6309022235479246, 'sign': '+'}]",68126d9cfd34fc3680f77e1c5e50955ae62f1436678a07f8d09932845d541200,214c8e80638d10479ccac51770eb06ba52dd3c7a5d1cbe8b87ab2bcceaded5ce,3,0
CASE-20260330-153425-DIVERSIFIED-3,2026-03-30 16:15:18.674011+00:00,CASE-20260330-153425-DIVERSIFIED,2026-03-30 16:15:18.674011+00:00,"{'src_ip': '192.168.1.193', 'dst_ip': '192.168.1.37', 'src_port': 49706, 'dst_port': 8080, 'proto': 'tcp', 'service': '-', 'conn_state': 'REJ'}",lightgbm,29877fa54c191755b4eb84f1c6fadc3a163fd4dc8913569676752d6a9e3509d8,ea7826d3bc380cdecb84fe98e1857d9ad0ecbf653749c1bece711ab78df1b31c,SHA-256,0,backdoor,0,backdoor,0.9999999004214871,max_class_probability,"[{'class_id': 0, 'class_name': 'backdoor', 'probability': 0.9999999004214871}, {'class_id': 3, 'class_name': 'injection', 'probability': 2.2435439209508027e-08}, {'class_id': 4, 'class_name': 'normal', 'probability': 2.061670604499857e-08}]",d28108527c972b76f90b4580a0dc7fc5c7ac9d08dec4f3b0d6412e002f79827e,"[{'feature': 'conn_state', 'value': 'REJ', 'shap_value': 9.096331018292418, 'abs_shap_value': 9.124045749909833, 'sign': '+'}, {'feature': 'src_ip_bytes', 'value': 48.0, 'shap_value': 5.861638842196382, 'abs_shap_value': 5.861638842196382, 'sign': '+'}, {'feature': 'src_port', 'value': 49706.0, 'shap_value': 3.774124524641862, 'abs_shap_value': 3.774124524641862, 'sign': '+'}, {'feature': 'dst_port', 'value': 8080.0, 'shap_value': 1.2763074362126232, 'abs_shap_value': 1.2763074362126232, 'sign': '+'}, {'feature': 'duration', 'value': 9.1e-05, 'shap_value': 0.6364657269085668, 'abs_shap_value': 0.6364657269085668, 'sign': '+'}]",214c8e80638d10479ccac51770eb06ba52dd3c7a5d1cbe8b87ab2bcceaded5ce,1591106e1a9e0190e9a573b321da27084df7a61e35b0124891d21dca5d357551,4,0
CASE-20260330-153425-DIVERSIFIED-4,2026-03-30 16:15:18.680011+00:00,CASE-20260330-153425-DIVERSIFIED,2026-03-30 16:15:18.680011+00:00,"{'src_ip': '192.168.1.193', 'dst_ip': '192.168.1.37', 'src_port': 49696, 'dst_port': 8080, 'proto': 'tcp', 'service': '-', 'conn_state': 'REJ'}",lightgbm,29877fa54c191755b4eb84f1c6fadc3a163fd4dc8913569676752d6a9e3509d8,ea7826d3bc380cdecb84fe98e1857d9ad0ecbf653749c1bece711ab78df1b31c,SHA-256,0,backdoor,0,backdoor,0.9999999004214871,max_class_probability,"[{'class_id': 0, 'class_name': 'backdoor', 'probability': 0.9999999004214871}, {'class_id': 3, 'class_name': 'injection', 'probability': 2.2435439209508027e-08}, {'class_id': 4, 'class_name': 'normal', 'probability': 2.061670604499857e-08}]",b4b787d0c6a828f7686293cef43fd23792db8eef7d2a94bd23e03d00227a339f,"[{'feature': 'conn_state', 'value': 'REJ', 'shap_value': 9.096331018292418, 'abs_shap_value': 9.124045749909833, 'sign': '+'}, {'feature': 'src_ip_bytes', 'value': 48.0, 'shap_value': 5.861638842196382, 'abs_shap_value': 5.861638842196382, 'sign': '+'}, {'feature': 'src_port', 'value': 49696.0, 'shap_value': 3.774124524641862, 'abs_shap_value': 3.774124524641862, 'sign': '+'}, {'feature': 'dst_port', 'value': 8080.0, 'shap_value': 1.2763074362126232, 'abs_shap_value': 1.2763074362126232, 'sign': '+'}, {'feature': 'duration', 'value': 9.6e-05, 'shap_value': 0.6364657269085668, 'abs_shap_value': 0.6364657269085668, 'sign': '+'}]",1591106e1a9e0190e9a573b321da27084df7a61e35b0124891d21dca5d357551,49713b7f957b4655af623f1bdf1c4227f9d9b23f84ec83a67571c3eff1486402,5,0
CASE-20260330-153425-DIVERSIFIED-5,2026-03-30 16:15:18.685013+00:00,CASE-20260330-153425-DIVERSIFIED,2026-03-30 16:15:18.685013+00:00,"{'src_ip': '192.168.1.193', 'dst_ip': '192.168.1.37', 'src_port': 49703, 'dst_port': 8080, 'proto': 'tcp', 'service': '-', 'conn_state': 'REJ'}",lightgbm,29877fa54c191755b4eb84f1c6fadc3a163fd4dc8913569676752d6a9e3509d8,ea7826d3bc380cdecb84fe98e1857d9ad0ecbf653749c1bece711ab78df1b31c,SHA-256,0,backdoor,0,backdoor,0.9999999004214871,max_class_probability,"[{'class_id': 0, 'class_name': 'backdoor', 'probability': 0.9999999004214871}, {'class_id': 3, 'class_name': 'injection', 'probability': 2.2435439209508027e-08}, {'class_id': 4, 'class_name': 'normal', 'probability': 2.061670604499857e-08}]",e3a8978501baa11a5d1cdc496d6fba5d29dc25e9626b8a4929e6ff6b50e34dc9,"[{'feature': 'conn_state', 'value': 'REJ', 'shap_value': 9.096331018292418, 'abs_shap_value': 9.124045749909833, 'sign': '+'}, {'feature': 'src_ip_bytes', 'value': 48.0, 'shap_value': 5.861638842196382, 'abs_shap_value': 5.861638842196382, 'sign': '+'}, {'feature': 'src_port', 'value': 49703.0, 'shap_value': 3.774124524641862, 'abs_shap_value': 3.774124524641862, 'sign': '+'}, {'feature': 'dst_port', 'value': 8080.0, 'shap_value': 1.2763074362126232, 'abs_shap_value': 1.2763074362126232, 'sign': '+'}, {'feature': 'duration', 'value': 9.8e-05, 'shap_value': 0.6364657269085668, 'abs_shap_value': 0.6364657269085668, 'sign': '+'}]",49713b7f957b4655af623f1bdf1c4227f9d9b23f84ec83a67571c3eff1486402,03697bb379a654567a60ea1705ea339d514e9e039363cbfba803c4e4c14fd7a1,6,0
CASE-20260330-153425-DIVERSIFIED-6,2026-03-30 16:15:18.689013+00:00,CASE-20260330-153425-DIVERSIFIED,2026-03-30 16:15:18.689013+00:00,"{'src_ip': '192.168.1.193', 'dst_ip': '192.168.1.37', 'src_port': 49690, 'dst_port': 8080, 'proto': 'tcp', 'service': '-', 'conn_state': 'REJ'}",lightgbm,29877fa54c191755b4eb84f1c6fadc3a163fd4dc8913569676752d6a9e3509d8,ea7826d3bc380cdecb84fe98e1857d9ad0ecbf653749c1bece711ab78df1b31c,SHA-256,0,backdoor,0,backdoor,0.9999999004214871,max_class_probability,"[{'class_id': 0, 'class_name': 'backdoor', 'probability': 0.9999999004214871}, {'class_id': 3, 'class_name': 'injection', 'probability': 2.2435439209508027e-08}, {'class_id': 4, 'class_name': 'normal', 'probability': 2.061670604499857e-08}]",d367d0cc5da58b4255d283aa1ce78d5c2051d8b2aa65f9f7a81d530b48d59f10,"[{'feature': 'conn_state', 'value': 'REJ', 'shap_value': 9.096292547292126, 'abs_shap_value': 9.124007278909541, 'sign': '+'}, {'feature': 'src_ip_bytes', 'value': 48.0, 'shap_value': 5.861638842196382, 'abs_shap_value': 5.861638842196382, 'sign': '+'}, {'feature': 'src_port', 'value': 49690.0, 'shap_value': 3.774124524641862, 'abs_shap_value': 3.774124524641862, 'sign': '+'}, {'feature': 'dst_port', 'value': 8080.0, 'shap_value': 1.2764827142116935, 'abs_shap_value': 1.2764827142116935, 'sign': '+'}, {'feature': 'duration', 'value': 0.000104, 'shap_value': 0.6363577579304344, 'abs_shap_value': 0.6363577579304344, 'sign': '+'}]",03697bb379a654567a60ea1705ea339d514e9e039363cbfba803c4e4c14fd7a1,d9a470ca968d0b26a681562133de982bdaf4a5c3285555d03af84f7edc7ae6de,7,0
CASE-20260330-153425-DIVERSIFIED-7,2026-03-30 16:15:18.694012+00:00,CASE-20260330-153425-DIVERSIFIED,2026-03-30 16:15:18.694012+00:00,"{'src_ip': '192.168.1.193', 'dst_ip': '192.168.1.37', 'src_port': 49699, 'dst_port': 8080, 'proto': 'tcp', 'service': '-', 'conn_state': 'REJ'}",lightgbm,29877fa54c191755b4eb84f1c6fadc3a163fd4dc8913569676752d6a9e3509d8,ea7826d3bc380cdecb84fe98e1857d9ad0ecbf653749c1bece711ab78df1b31c,SHA-256,0,backdoor,0,backdoor,0.9999999004214871,max_class_probability,"[{'class_id': 0, 'class_name': 'backdoor', 'probability': 0.9999999004214871}, {'class_id': 3, 'class_name': 'injection', 'probability': 2.2435439209508027e-08}, {'class_id': 4, 'class_name': 'normal', 'probability': 2.061670604499857e-08}]",ab1985a60366aa491935ab4e3588584aa61aca622e1d539553c3936afce884ef,"[{'feature': 'conn_state', 'value': 'REJ', 'shap_value': 9.096292547292126, 'abs_shap_value': 9.124007278909541, 'sign': '+'}, {'feature': 'src_ip_bytes', 'value': 48.0, 'shap_value': 5.861638842196382, 'abs_shap_value': 5.861638842196382, 'sign': '+'}, {'feature': 'src_port', 'value': 49699.0, 'shap_value': 3.774124524641862, 'abs_shap_value': 3.774124524641862, 'sign': '+'}, {'feature': 'dst_port', 'value': 8080.0, 'shap_value': 1.2764827142116935, 'abs_shap_value': 1.2764827142116935, 'sign': '+'}, {'feature': 'duration', 'value': 0.0001, 'shap_value': 0.6363577579304344, 'abs_shap_value': 0.6363577579304344, 'sign': '+'}]",d9a470ca968d0b26a681562133de982bdaf4a5c3285555d03af84f7edc7ae6de,fd643c288853fc043017cc737d487e704c590d2e2fb833f8cc1439248f10c004,8,0
CASE-20260330-153425-DIVERSIFIED-8,2026-03-30 16:15:18.700034+00:00,CASE-20260330-153425-DIVERSIFIED,2026-03-30 16:15:18.700034+00:00,"{'src_ip': '192.168.1.193', 'dst_ip': '192.168.1.37', 'src_port': 49701, 'dst_port': 8080, 'proto': 'tcp', 'service': '-', 'conn_state': 'REJ'}",lightgbm,29877fa54c191755b4eb84f1c6fadc3a163fd4dc8913569676752d6a9e3509d8,ea7826d3bc380cdecb84fe98e1857d9ad0ecbf653749c1bece711ab78df1b31c,SHA-256,0,backdoor,0,backdoor,0.9999999004214871,max_class_probability,"[{'class_id': 0, 'class_name': 'backdoor', 'probability': 0.9999999004214871}, {'class_id': 3, 'class_name': 'injection', 'probability': 2.2435439209508027e-08}, {'class_id': 4, 'class_name': 'normal', 'probability': 2.061670604499857e-08}]",46d0cd578ce535bd8b364c640597188282485f8373914cc7cdbb0814a37d0202,"[{'feature': 'conn_state', 'value': 'REJ', 'shap_value': 9.096292547292126, 'abs_shap_value': 9.124007278909541, 'sign': '+'}, {'feature': 'src_ip_bytes', 'value': 48.0, 'shap_value': 5.861638842196382, 'abs_shap_value': 5.861638842196382, 'sign': '+'}, {'feature': 'src_port', 'value': 49701.0, 'shap_value': 3.774124524641862, 'abs_shap_value': 3.774124524641862, 'sign': '+'}, {'feature': 'dst_port', 'value': 8080.0, 'shap_value': 1.2764827142116935, 'abs_shap_value': 1.2764827142116935, 'sign': '+'}, {'feature': 'duration', 'value': 0.000104, 'shap_value': 0.6363577579304344, 'abs_shap_value': 0.6363577579304344, 'sign': '+'}]",fd643c288853fc043017cc737d487e704c590d2e2fb833f8cc1439248f10c004,4a3b3bd8ed463183aa77f7dc1c8a8fbc4081d5f4b9e2a327262960b3d953dc69,9,0
CASE-20260330-153425-DIVERSIFIED-9,2026-03-30 16:15:18.705033+00:00,CASE-20260330-153425-DIVERSIFIED,2026-03-30 16:15:18.705033+00:00,"{'src_ip': '192.168.1.193', 'dst_ip': '192.168.1.37', 'src_port': 49699, 'dst_port': 8080, 'proto': 'tcp', 'service': '-', 'conn_state': 'REJ'}",lightgbm,29877fa54c191755b4eb84f1c6fadc3a163fd4dc8913569676752d6a9e3509d8,ea7826d3bc380cdecb84fe98e1857d9ad0ecbf653749c1bece711ab78df1b31c,SHA-256,0,backdoor,0,backdoor,0.9999999004214871,max_class_probability,"[{'class_id': 0, 'class_name': 'backdoor', 'probability': 0.9999999004214871}, {'class_id': 3, 'class_name': 'injection', 'probability': 2.2435439209508027e-08}, {'class_id': 4, 'class_name': 'normal', 'probability': 2.061670604499857e-08}]",7611ddf9942fe4aa16b27cfca25c4c64dce37094deac2a72822ba1ae27486998,"[{'feature': 'conn_state', 'value': 'REJ', 'shap_value': 9.096292547292126, 'abs_shap_value': 9.124007278909541, 'sign': '+'}, {'feature': 'src_ip_bytes', 'value': 48.0, 'shap_value': 5.861638842196382, 'abs_shap_value': 5.861638842196382, 'sign': '+'}, {'feature': 'src_port', 'value': 49699.0, 'shap_value': 3.774124524641862, 'abs_shap_value': 3.774124524641862, 'sign': '+'}, {'feature': 'dst_port', 'value': 8080.0, 'shap_value': 1.2764827142116935, 'abs_shap_value': 1.2764827142116935, 'sign': '+'}, {'feature': 'duration', 'value': 0.000105, 'shap_value': 0.6363577579304344, 'abs_shap_value': 0.6363577579304344, 'sign': '+'}]",4a3b3bd8ed463183aa77f7dc1c8a8fbc4081d5f4b9e2a327262960b3d953dc69,95cbf7094709d458c7f60fd7cb166de974a0a52bff5a83b2c23ad122cc55d37d,10,0
